Id,Series,Season,Round,HomeName,HomeLogo,HomeGoals,AwayName,AwayLogo,AwayGoals,StadiumName,StartDate
1,Bundesliga,2020,1,Bayern Munich,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60293.png,8,Schalke 04,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60294.png,0,Allianz Arena,2020-09-19T04:30:00+10:00
2,Bundesliga,2020,1,Werder Bremen,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60300.png,1,Hertha Berlin,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60495.png,4,Weserstadion,2020-09-19T23:30:00+10:00
3,Bundesliga,2020,1,Eintracht Frankfurt,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60291.png,1,Arminia Bielefeld,https://content.foxsports.com.au/fs/match-centre/team-logo/football/61573.png,1,Deutsche Bank Park,2020-09-19T23:30:00+10:00
4,Bundesliga,2020,1,FC Cologne,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60497.png,2,TSG Hoffenheim,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60287.png,3,RheinEnergieStadion,2020-09-19T23:30:00+10:00
5,Bundesliga,2020,1,VFB Stuttgart,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60301.png,2,SC Freiburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60299.png,3,Mercedes-Benz-Arena,2020-09-19T23:30:00+10:00
6,Bundesliga,2020,1,1. FC Union Berlin,https://content.foxsports.com.au/fs/match-centre/team-logo/football/61422.png,1,FC Augsburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60292.png,3,Stadion An der Alten Forsterei,2020-09-19T23:30:00+10:00
7,Bundesliga,2020,1,Borussia Dortmund,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60289.png,3,Borussia Monchengladbach,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60290.png,0,Signal-Iduna-Park,2020-09-20T02:30:00+10:00
8,Bundesliga,2020,1,RB Leipzig,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60547.png,3,Mainz,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60286.png,1,Red Bull Arena,2020-09-20T23:30:00+10:00
9,Bundesliga,2020,1,Wolfsburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60302.png,0,Bayer Leverkusen,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60288.png,0,Volkswagen Arena,2020-09-21T02:00:00+10:00
10,Bundesliga,2020,2,Hertha Berlin,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60495.png,1,Eintracht Frankfurt,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60291.png,3,Olympiastadion Berlin,2020-09-26T04:30:00+10:00
11,Bundesliga,2020,2,Bayer Leverkusen,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60288.png,1,RB Leipzig,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60547.png,1,BayArena,2020-09-26T23:30:00+10:00
12,Bundesliga,2020,2,Arminia Bielefeld,https://content.foxsports.com.au/fs/match-centre/team-logo/football/61573.png,1,FC Cologne,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60497.png,0,SchucoArena,2020-09-26T23:30:00+10:00
13,Bundesliga,2020,2,Borussia Monchengladbach,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60290.png,1,1. FC Union Berlin,https://content.foxsports.com.au/fs/match-centre/team-logo/football/61422.png,1,Stadion im BORUSSIA-PARK,2020-09-26T23:30:00+10:00
14,Bundesliga,2020,2,Mainz,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60286.png,1,VFB Stuttgart,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60301.png,4,Opel Arena,2020-09-26T23:30:00+10:00
15,Bundesliga,2020,2,FC Augsburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60292.png,2,Borussia Dortmund,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60289.png,0,WWK Arena,2020-09-26T23:30:00+10:00
16,Bundesliga,2020,2,Schalke 04,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60294.png,1,Werder Bremen,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60300.png,3,Veltins-Arena,2020-09-27T02:30:00+10:00
17,Bundesliga,2020,2,TSG Hoffenheim,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60287.png,4,Bayern Munich,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60293.png,1,PreZero Arena,2020-09-27T23:30:00+10:00
18,Bundesliga,2020,2,SC Freiburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60299.png,1,Wolfsburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60302.png,1,Schwarzwald-Stadion,2020-09-28T02:00:00+10:00
19,Bundesliga,2020,3,1. FC Union Berlin,https://content.foxsports.com.au/fs/match-centre/team-logo/football/61422.png,4,Mainz,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60286.png,0,Stadion An der Alten Forsterei,2020-10-03T04:30:00+10:00
20,Bundesliga,2020,3,Werder Bremen,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60300.png,1,Arminia Bielefeld,https://content.foxsports.com.au/fs/match-centre/team-logo/football/61573.png,0,Weserstadion,2020-10-03T23:30:00+10:00
21,Bundesliga,2020,3,Borussia Dortmund,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60289.png,4,SC Freiburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60299.png,0,Signal-Iduna-Park,2020-10-03T23:30:00+10:00
22,Bundesliga,2020,3,Eintracht Frankfurt,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60291.png,2,TSG Hoffenheim,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60287.png,1,Deutsche Bank Park,2020-10-03T23:30:00+10:00
23,Bundesliga,2020,3,FC Cologne,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60497.png,1,Borussia Monchengladbach,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60290.png,3,RheinEnergieStadion,2020-10-03T23:30:00+10:00
24,Bundesliga,2020,3,VFB Stuttgart,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60301.png,1,Bayer Leverkusen,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60288.png,1,Mercedes-Benz-Arena,2020-10-03T23:30:00+10:00
25,Bundesliga,2020,3,RB Leipzig,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60547.png,4,Schalke 04,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60294.png,0,Red Bull Arena,2020-10-04T03:30:00+11:00
26,Bundesliga,2020,3,Wolfsburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60302.png,0,FC Augsburg,https://content.foxsports.com.au/fs/match-centre/team-logo/football/60292.png,0,Volkswagen Arena,2020-10-05T00:30:00+11:00
